session,music_type,valence_rating,RT,PPG_music_start,PPG_response_start,PPG_ITI_start,fMRI_music_start,fMRI_response_start,fMRI_ITI_start
1,atonal,0.98,4.39811168070901,1516.0483048875,1545.53420948892,1559.3972156251,13.0996569188947,42.5855615203209,56.4485676564991
1,tonal,0.31,4.30466140333374,1566.51571856308,1595.99114902348,1609.97185913784,63.5670705944794,93.042501054877,107.023211169237
1,atonal,0.35,4.23538409853609,1618.07679473974,1647.54857190097,1662.74694557392,115.128146771135,144.599923932369,159.798297605313
1,discord,0.28,5.53791827140594,1670.85142981901,1700.32524682448,1716.35670115047,167.902781850408,197.376598855879,213.408053181872
1,atonal,0.12,3.331637115788,1723.49823465949,1752.98347568041,1765.36287866325,220.549586690883,250.03482771181,262.414230694649
1,discord,0.35,3.31446003494875,1787.48175583622,1816.95163019702,1828.31365774615,284.533107867618,314.002982228416,325.365009777548
1,tonal,0.22,3.39400868924258,1836.42689864612,1865.90840980091,1879.57223886568,333.478250677521,362.959761832303,376.623590897074
1,discord,0.21,2.50134117053767,1887.67636912719,1917.1498038526,1926.55926936236,384.727721158592,414.201155883992,423.610621393758
1,atonal,0.12,2.40164874231868,1934.68021800506,1964.1534277456,1972.76304960736,431.731570036455,461.204779776996,469.814401638756
1,tonal,0.89,2.21377279081389,1980.87032244409,2010.34045757648,2020.68497375778,477.921674475482,507.391809607881,517.736325789174
1,discord,0.12,3.5863030548835,2043.80180026726,2073.27444879403,2084.4203876786,540.85315229866,570.325800825426,581.471739709995
1,atonal,0.89,3.23302494779728,2092.5257646503,2121.99768579075,2134.86083590614,589.577116681698,619.049037822147,631.912187937538
1,tonal,0.12,5.39576390405,2141.98920322347,2171.47083699639,2185.51746573281,639.040555254867,668.522189027785,682.568817764206
1,discord,0.54,4.20156035739001,2193.6228141306,2223.09496275266,2237.14314086077,690.674166162,720.146314784058,734.194492892171
1,tonal,1.12,2.29902651742032,2245.2825535199,2274.75331949764,2285.13102136191,742.333905551301,771.80467152904,782.182373393307
2,discord,0.89,2.76228060855283,2397.70869925738,2427.19262948489,2437.02001560746,14.1010198666354,43.5849500941413,53.4123362167093
2,atonal,0.12,3.67766161111922,2444.13199675867,2473.61364939591,2483.87437993923,60.5243173679164,90.0059700051634,100.266700548481
2,tonal,1.12,2.17038733182653,2491.02589711673,2520.50114975309,2529.06187028166,107.418217725977,136.893470362337,145.454190890915
2,atonal,0.67,4.06265731254825,2537.18893623774,2566.67256685532,2578.56730390184,153.581256846988,183.06488746457,194.959624511088
2,discord,0.26,2.02857474171833,2586.69459622985,2616.17816137712,2624.33753027655,203.086916839105,232.570481986369,240.729850885806
2,tonal,0.89,3.97077194219673,2647.46356008164,2676.94371799826,2695.41219306975,263.85588069089,293.336038607513,311.804513678997
2,discord,1.12,2.53799788996912,2702.52831688299,2732.00551864836,2743.66839700645,318.920637492243,348.397839257611,360.060717615705
2,tonal,1.12,2.51571662116567,2751.79141850596,2781.26119799028,2790.63812086875,368.183739115213,397.653518599534,407.030441477998
2,atonal,0.18,2.09039813997788,2798.76960357446,2828.24969962718,2838.00969709714,415.161924183709,444.642020236432,454.402017706392
2,discord,0.15,3.28838592643388,2846.12876790689,2875.60402331742,2884.99743223198,462.521088516146,491.996343926671,501.389752841232
2,tonal,1.12,2.17855752801825,2908.15258162498,2937.63703117635,2945.3133978068,524.54490223423,554.029351785606,561.705718416051
2,atonal,0.41,2.7866325148334,2953.43304453341,2982.90680411364,2993.11815616723,569.82536514266,599.299124722896,609.510476776486
2,discord,0.37,3.35225527209514,3000.25501576142,3029.72792228562,3038.35427486492,616.647336370675,646.120242894875,654.74659547417
2,tonal,1.12,2.63350576624271,3045.47639254116,3074.94766203002,3084.29135345177,661.868713150407,691.33998263927,700.683674061022
2,atonal,0.12,3.19884639082375,3092.41572153144,3121.88618013159,3130.52896742491,708.808042140691,738.278500740841,746.921288034163
