session,music_type,valence_rating,RT,PPG_music_start,PPG_response_start,PPG_ITI_start,fMRI_music_start,fMRI_response_start,fMRI_ITI_start
1,atonal,0.01,7.53250587360526,1772.62597778947,1802.11010415051,1818.6936025236,15.1187553870841,44.6028817481238,61.186380121213
1,discord,0,5.47026607303269,1826.79826514757,1856.27098441557,1870.20099969845,69.2910427451789,98.7637620131791,112.693777296059
1,tonal,0.29,4.38460204727744,1877.30670984749,1906.77763062368,1921.65907303464,119.799487445096,149.270408221295,164.151850632246
1,discord,0.03,4.80296985563473,1929.76475877101,1959.2365803189,1972.76678890566,172.257536368623,201.729357916513,215.259566503275
1,atonal,0.44,5.81746958889926,1979.87427784992,2009.34412641098,2024.99277995565,222.367055447532,251.836904008585,267.485557553264
1,tonal,0.31,5.15075039802105,2047.11114945625,2076.58186577642,2088.61097399025,289.60392705386,319.074643374028,331.103751587863
1,discord,0.24,3.16372711416989,2095.7172259339,2125.18664338956,2135.11411282033,338.210003531512,367.679420987173,377.606890417945
1,tonal,0.22,5.85300249369902,2143.23711490068,2172.70817188843,2185.17174445382,385.729892498293,415.200949486043,427.664522051429
1,atonal,0.15,2.40384338501462,2193.52308536081,2222.99866368425,2232.35895654741,436.015862958418,465.491441281862,474.851734145017
1,discord,0.08,5.61682331919656,2239.46693679645,2268.93604631969,2281.36579569877,481.959714394063,511.428823917304,523.858573296377
1,tonal,0.26,6.15968987043743,2304.49345338444,2333.97129459506,2348.53572668029,546.986230982049,576.464072192673,591.0285042779
1,atonal,0.12,5.23412573685346,2356.64253262489,2386.11394387363,2399.91041274873,599.135310222497,628.606721471238,642.403190346344
1,discord,0.25,4.46571006026352,2406.01685694209,2435.48699124224,2450.08398537793,648.509634539696,677.979768839847,692.576762975536
1,tonal,0.32,4.98443165800563,2458.1909966108,2487.66162193832,2503.54383639967,700.68377420841,730.154399535935,746.036613997276
1,atonal,0.29,4.51078110249,2511.74099692983,2541.2213845474,2554.8352175931,754.233774527442,783.714162145006,797.327995190706
2,tonal,0.28,3.42003175310674,2674.61151439778,2704.08584268204,2718.35023706635,14.1109646967961,43.5852929810535,57.8496873653639
2,discord,0.24,5.67714145499849,2725.46273448985,2754.94347831032,2776.13006288757,64.9621847888593,94.4429286093327,115.629513186581
2,atonal,0.23,5.78017453387656,2784.27432395656,2813.7574840756,2827.58803357961,123.773774255573,153.256934374607,167.087483878626
2,discord,0.35,4.19341152227571,2835.70187120269,2865.18231846482,2876.32731912646,175.2013215017,204.681768763832,215.826769425472
2,tonal,0.32,5.67659966038627,2884.44228638991,2913.9222598245,2936.35899011482,223.941736688925,253.421710123512,275.858440413827
2,discord,0.15,2.36811739826589,2965.16293675429,2994.63647606575,3004.28045264402,304.6623870533,334.135926364757,343.779902943028
2,atonal,0.12,3.02506930560048,3011.49440325887,3040.97376166086,3051.86944858181,350.99385355788,380.47321195987,391.368898880817
2,discord,0.11,3.42241365200243,3059.98530052679,3089.46361223596,3097.90649673605,399.484750825799,428.963062534971,437.405947035066
2,atonal,0.07,2.57305558013832,3106.03869073792,3135.51734034051,3143.27558731174,445.53814103693,475.016790639518,482.775037610754
2,tonal,0.24,3.78721203810346,3151.39551839036,3180.86977399147,3200.70535222614,490.894968689376,520.369224290484,540.204802525153
2,discord,0.12,5.21236462416709,3224.26382318354,3253.74519673969,3267.62584435209,563.763273482549,593.2446470387,607.125294651101
2,atonal,-0.08,5.16861214302116,3275.74872964005,3305.2207259604,3316.18166598098,615.248179939063,644.720176259409,655.681116279997
2,tonal,0.1,4.08394709443746,3324.30439036732,3353.77576139065,3388.75663046473,663.803840666329,693.275211689666,728.256080763738
2,atonal,-0.16,3.13058304368678,3396.88266692781,3426.36751762358,3434.7603642147,736.382117226822,765.866967922593,774.259814513713
2,tonal,0.39,6.12089288196148,3442.9661335367,3472.43796923283,3486.58556706865,782.46558383571,811.937419531845,826.085017367663
