session,music_type,valence_rating,RT,PPG_music_start,PPG_response_start,PPG_ITI_start,fMRI_music_start,fMRI_response_start,fMRI_ITI_start
1,atonal,0.02,6.12020008611216,2793.30771936677,2822.78403106212,2841.91882119974,14.1261102332319,43.6024219285755,62.7372120662003
1,discord,0.03,5.47787384510229,2849.0262014488,2878.49580902213,2894.99544726697,69.844592315254,99.3141998885876,115.813838133432
1,tonal,0.42,4.17650960648461,2902.108605334,2931.58930525255,2945.28647429652,122.926996200462,152.407696119011,166.104865162979
1,atonal,0.37,5.08919872342449,2953.41714669505,2982.89755143914,2997.71247234127,174.235537561504,203.7159423056,218.530863207725
1,discord,-0.13,4.16043924399855,3005.82042601663,3035.29047801616,3049.0880049869,226.638816883093,256.10886888262,269.906395853355
1,tonal,0.67,4.49780588839712,3071.23630712347,3100.71050210728,3113.40664303422,292.05469798993,321.52889297374,334.225033900675
1,discord,0.08,7.05943160053357,3120.51899908119,3150.0006610909,3167.78426464942,341.337389947646,370.819051957362,388.602655515879
1,atonal,0.47,4.2322470876461,3174.92133933743,3204.39499806916,3216.72430400971,395.739730203892,425.213388935619,437.542694876171
1,tonal,0.53,3.62583336847456,3224.83829960651,3254.31901339604,3266.51491907116,445.656690472966,475.137404262496,487.333309937614
1,discord,0.05,4.48629408474517,3273.64677743847,3303.1252477357,3316.02213059361,494.465168304923,523.943638602159,536.840521460072
1,tonal,0.66,3.52916373526386,3339.14414278454,3368.62886029371,3380.70804694384,559.962533650996,589.447251160171,601.526437810295
1,atonal,0.34,2.42512972140321,3388.81959569978,3418.28601128321,3430.54863970074,609.637986566235,639.104402149671,651.367030567202
1,discord,-0.07,4.94356536338455,3438.65771470613,3468.12678158866,3483.07455069122,659.476105572583,688.945172455118,703.892941557679
1,tonal,0.55,3.18522363348893,3491.20997362295,3520.68596850511,3532.81529791536,712.028364489404,741.504359371567,753.633688781818
1,atonal,0.62,4.99891501195088,3541.03939718941,3570.50999404103,3581.94084415455,761.857788055866,791.328384907487,802.759235021007
2,tonal,0.57,3.97051501283931,3711.82521344664,3741.29924530773,3755.58122734869,14.1449556239641,43.6189874850497,57.9009695260138
2,discord,-0.22,4.48849097054699,3763.71777799109,3793.19175603277,3804.03632143832,66.0375201684074,95.5114982100895,106.356063615644
2,atonal,-0.26,3.61528310115318,3812.15711020882,3841.63152102508,3852.72627951467,114.476852386142,143.951263202402,155.046021691993
2,tonal,0.43,3.46511032422495,3860.84749967265,3890.32092925578,3903.53601738644,163.167241849969,192.640671433106,205.855759563765
2,atonal,0.13,5.90410131585668,3911.66734726942,3941.14571048269,3954.47573133355,213.987089446739,243.46545266001,256.795473510869
2,discord,0.3,5.77622919075657,3977.63375203349,4007.11611591479,4021.5305669236,279.953494210808,309.435858092111,323.850309100919
2,tonal,0.37,3.34626848446715,4028.6526071339,4058.1244451608,4070.47040654178,330.972349311225,360.444187338126,372.790148719101
2,atonal,0.05,6.28452819803715,4078.62195448765,4108.09836577663,4123.7971754801,380.941696664973,410.418107953956,426.116917657426
2,discord,-0.01,4.89936715041404,4131.9841715474,4161.45872218314,4174.37156998409,434.303913724725,463.778464360461,476.691312161412
2,atonal,-0.15,6.74541869275345,4182.49759699144,4211.96640309956,4225.73021970523,484.817339168763,514.286145276878,528.049961882549
2,tonal,0.64,5.16291660101342,4248.8647967846,4278.33715081195,4291.56744736241,551.184538961919,580.656892989275,593.887189539728
2,discord,0.49,3.9122241616933,4299.68956497278,4329.1620571551,4342.29322946374,602.009307150103,631.481799332418,644.612971641061
2,tonal,0.34,4.9775736770971,4350.41637713308,4379.8867276361,4392.61632065045,652.736119310404,682.20646981342,694.936062827772
2,discord,0.36,4.66531128698261,4400.76968097856,4430.24457589201,4446.56054987894,703.089423155881,732.564318069337,748.880292056259
2,atonal,-0.26,3.74308171006123,4454.70323177187,4484.17188002823,4495.46692048711,757.022973949192,786.491622205554,797.786662664428
